representative,party,twitter
Anders Adlercreutz,Ruotsalainen eduskuntaryhmä,@adleande
Pekka Aittakumpu,Keskustan eduskuntaryhmä,@PAittakumpu
Outi Alanko-Kahiluoto,Vihreä eduskuntaryhmä,@outialanko
Li Andersson,Vasemmistoliiton eduskuntaryhmä,@liandersson
Sanna Antikainen,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Marko Asell,Sosialidemokraattinen eduskuntaryhmä,@markoasell
Heikki Autto,Kansallisen kokoomuksen eduskuntaryhmä,@heikkiautto
Kim Berg,Sosialidemokraattinen eduskuntaryhmä,@kibefi
Sandra Bergqvist,Ruotsalainen eduskuntaryhmä,@SandraBergq
Eva Biaudet,Ruotsalainen eduskuntaryhmä,@EvaBiaudet
Thomas Blomqvist,Ruotsalainen eduskuntaryhmä,@ThomasBlomqvis7
Juho Eerola,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Markku Eestilä,Kansallisen kokoomuksen eduskuntaryhmä,FAILED TO PARSE
Tiina Elo,Vihreä eduskuntaryhmä,@TiinaElo
Ritva Elomaa,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Eeva-Johanna Eloranta,Sosialidemokraattinen eduskuntaryhmä,@elorantaeevajoh
Seppo Eskelinen,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Sari Essayah,Kristillisdemokraattinen eduskuntaryhmä,@SariEssayah
Tarja Filatov,Sosialidemokraattinen eduskuntaryhmä,@TarjaFilatov
Bella Forsgrén,Vihreä eduskuntaryhmä,@BellaForsgren
Sanni Grahn-Laasonen,Kansallisen kokoomuksen eduskuntaryhmä,@sannigrahn
Jukka Gustafsson,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Maria Guzenina,Sosialidemokraattinen eduskuntaryhmä,@Guzenina
Tuula Haatainen,Sosialidemokraattinen eduskuntaryhmä,@TuulaHaatainen
Pekka Haavisto,Vihreä eduskuntaryhmä,@Haavisto
Jussi Halla-aho,Perussuomalaisten eduskuntaryhmä,@Halla_aho
Timo Harakka,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Atte Harjanne,Vihreä eduskuntaryhmä,@AtteHarjanne
Harry Harkimo,Liike Nyt -eduskuntaryhmä,FAILED TO PARSE
Satu Hassi,Vihreä eduskuntaryhmä,@satuhassi
Hannakaisa Heikkinen,Keskustan eduskuntaryhmä,FAILED TO PARSE
Janne Heikkinen,Kansallisen kokoomuksen eduskuntaryhmä,@heikkinenjanne
Timo Heinonen,Kansallisen kokoomuksen eduskuntaryhmä,@timoheinonen
Eveliina Heinäluoma,Sosialidemokraattinen eduskuntaryhmä,@eveheinaluoma
Anna-Maja Henriksson,Ruotsalainen eduskuntaryhmä,@anna_maja
Hanna Holopainen,Vihreä eduskuntaryhmä,@HannaHolopaine
Mari Holopainen,Vihreä eduskuntaryhmä,@mariholopainen
Veronika Honkasalo,Vasemmistoliiton eduskuntaryhmä,@veronikahonka
Petri Honkonen,Keskustan eduskuntaryhmä,@HonkonenPetri
Inka Hopsu,Vihreä eduskuntaryhmä,@InkaHopsu
Hannu Hoskonen,Keskustan eduskuntaryhmä,FAILED TO PARSE
Petri Huru,Perussuomalaisten eduskuntaryhmä,@PetriHuru
Hanna Huttunen,Keskustan eduskuntaryhmä,@HannaHuttunen1
Saara Hyrkkö,Vihreä eduskuntaryhmä,@SaaraHyrkko
Antti Häkkänen,Kansallisen kokoomuksen eduskuntaryhmä,@anttihakkanen
Katja Hänninen,Vasemmistoliiton eduskuntaryhmä,@kmhanninen
Olli Immonen,Perussuomalaisten eduskuntaryhmä,@ImmonenOlli
Kalle Jokinen,Kansallisen kokoomuksen eduskuntaryhmä,@JokinenKalle
Vilhelm Junnila,Perussuomalaisten eduskuntaryhmä,@vilhelmjunnila
Kaisa Juuso,Perussuomalaisten eduskuntaryhmä,@KaisaJuuso
Arja Juvonen,Perussuomalaisten eduskuntaryhmä,@arjajuvonen
Heli Järvinen,Vihreä eduskuntaryhmä,@heli_jarvinen
Antti Kaikkonen,Keskustan eduskuntaryhmä,@anttikaikkonen
Atte Kaleva,Kansallisen kokoomuksen eduskuntaryhmä,@AtteKaleva
Eeva Kalli,Keskustan eduskuntaryhmä,@Eeva_Kalli
Anne Kalmari,Keskustan eduskuntaryhmä,@AnneKalmari
Ilkka Kanerva,Kansallisen kokoomuksen eduskuntaryhmä,@ikekanerva
Toimi Kankaanniemi,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Emma Kari,Vihreä eduskuntaryhmä,@EmmaKari
Mika Kari,Sosialidemokraattinen eduskuntaryhmä,@Mika_Kari
Pia Kauma,Kansallisen kokoomuksen eduskuntaryhmä,@PiaKauma
Ville Kaunisto,Kansallisen kokoomuksen eduskuntaryhmä,@VilleKaunisto
Juho Kautto,Vasemmistoliiton eduskuntaryhmä,@JuhoKautto
Hilkka Kemppi,Keskustan eduskuntaryhmä,@HiluKemppi
Pihla Keto-Huovinen,Kansallisen kokoomuksen eduskuntaryhmä,FAILED TO PARSE
Tuomas Kettunen,Keskustan eduskuntaryhmä,@KettunenTuomas
Anneli Kiljunen,Sosialidemokraattinen eduskuntaryhmä,@AnneliKiljunen
Kimmo Kiljunen,Sosialidemokraattinen eduskuntaryhmä,@kimmokiljunen
Marko Kilpi,Kansallisen kokoomuksen eduskuntaryhmä,@markokilpi
Jari Kinnunen,Kansallisen kokoomuksen eduskuntaryhmä,@knkinnunen
Mikko Kinnunen,Keskustan eduskuntaryhmä,@MikkoPJKinnunen
Krista Kiuru,Sosialidemokraattinen eduskuntaryhmä,@KristaKiuru
Pauli Kiuru,Kansallisen kokoomuksen eduskuntaryhmä,@KiuruPauli
Mai Kivelä,Vasemmistoliiton eduskuntaryhmä,@MaiKivela
Esko Kiviranta,Keskustan eduskuntaryhmä,@EskoKiviranta
Pasi Kivisaari,Keskustan eduskuntaryhmä,@PasiKivisaari
Anna Kontula,Vasemmistoliiton eduskuntaryhmä,@annakontula
Ari Koponen,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Noora Koponen,Vihreä eduskuntaryhmä,@koponno
Jukka Kopra,Kansallisen kokoomuksen eduskuntaryhmä,@jukka_kopra
Jari Koskela,Perussuomalaisten eduskuntaryhmä,@1jarikoskela
Johannes Koskinen,Sosialidemokraattinen eduskuntaryhmä,@JohKoskinen
Hanna Kosonen,Keskustan eduskuntaryhmä,@KosonenHanna
Jouni Kotiaho,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Terhi Koulumies,Kansallisen kokoomuksen eduskuntaryhmä,@terhikoulumies
Katri Kulmuni,Keskustan eduskuntaryhmä,@KatriKulmuni
Antti Kurvinen,Keskustan eduskuntaryhmä,@kurvisentwiit
Johan Kvarnström,Sosialidemokraattinen eduskuntaryhmä,@KvarnstromJohan
Merja Kyllönen,Vasemmistoliiton eduskuntaryhmä,FAILED TO PARSE
Suna Kymäläinen,Sosialidemokraattinen eduskuntaryhmä,@SunaKymlinen
Mikko Kärnä,Keskustan eduskuntaryhmä,@KarnaMikko
Joonas Könttä,Keskustan eduskuntaryhmä,@joonaskontta
Sheikki Laakso,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Mia Laiho,Kansallisen kokoomuksen eduskuntaryhmä,@MiaLaiho
Antero Laukkanen,Kristillisdemokraattinen eduskuntaryhmä,@AnteroLaukkanen
Rami Lehto,Perussuomalaisten eduskuntaryhmä,@RamiLehto1973
Jari Leppä,Keskustan eduskuntaryhmä,@JariLeppa
Aki Lindén,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Antti Lindtman,Sosialidemokraattinen eduskuntaryhmä,@AnttiLindtman
Mika Lintilä,Keskustan eduskuntaryhmä,@MikaLintila
Markus Lohi,Keskustan eduskuntaryhmä,@MarkusLohi
Pia Lohikoski,Vasemmistoliiton eduskuntaryhmä,@plohikoski
Mikko Lundén,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Mats Löfström,Ruotsalainen eduskuntaryhmä,FAILED TO PARSE
Niina Malm,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Sanna Marin,Sosialidemokraattinen eduskuntaryhmä,@MarinSanna
Matias Marttinen,Kansallisen kokoomuksen eduskuntaryhmä,@MatiasMarttinen
Hanna-Leena Mattila,Keskustan eduskuntaryhmä,@MattilaHanna
Leena Meri,Perussuomalaisten eduskuntaryhmä,@leena_meri
Krista Mikkonen,Vihreä eduskuntaryhmä,@MikkonenKrista
Sari Multala,Kansallisen kokoomuksen eduskuntaryhmä,@SariMultala
Markus Mustajärvi,Vasemmistoliiton eduskuntaryhmä,@MarkusMustajarv
Kai Mykkänen,Kansallisen kokoomuksen eduskuntaryhmä,@KaiMykkanen
Jari Myllykoski,Vasemmistoliiton eduskuntaryhmä,@JariMyllykoski
Juha Mäenpää,Perussuomalaisten eduskuntaryhmä,@maenpaa_juha
Jani Mäkelä,Perussuomalaisten eduskuntaryhmä,@JaniMakelaFi
Riitta Mäkinen,Sosialidemokraattinen eduskuntaryhmä,@makinen_riitta
Merja Mäkisalo-Ropponen,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Jukka Mäkynen,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Matias Mäkynen,Sosialidemokraattinen eduskuntaryhmä,@matiasmakynen
Veijo Niemi,Perussuomalaisten eduskuntaryhmä,@veijoniemi1
Mika Niikko,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Anders Norrback,Ruotsalainen eduskuntaryhmä,@AndersNorrback
Ilmari Nurminen,Sosialidemokraattinen eduskuntaryhmä,@IlmariNurminen
Maria Ohisalo,Vihreä eduskuntaryhmä,@MariaOhisalo
Johanna Ojala-Niemelä,Sosialidemokraattinen eduskuntaryhmä,@NiemelaOjala
Mikko Ollikainen,Ruotsalainen eduskuntaryhmä,@OllikainenM
Petteri Orpo,Kansallisen kokoomuksen eduskuntaryhmä,@PetteriOrpo
Jouni Ovaska,Keskustan eduskuntaryhmä,@JouniOvaska
Sirpa Paatero,Sosialidemokraattinen eduskuntaryhmä,@sirpa_paatero
Tom Packalén,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Aino-Kaisa Pekonen,Vasemmistoliiton eduskuntaryhmä,@akpekonen
Jaana Pelkonen,Kansallisen kokoomuksen eduskuntaryhmä,FAILED TO PARSE
Mauri Peltokangas,Perussuomalaisten eduskuntaryhmä,@mauripeltokang2
Pirkka-Pekka Petelius,Vihreä eduskuntaryhmä,FAILED TO PARSE
Raimo Piirainen,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Arto Pirttilahti,Keskustan eduskuntaryhmä,@ArtoPirttilahti
Jenni Pitko,Vihreä eduskuntaryhmä,@JenniPitko
Sakari Puisto,Perussuomalaisten eduskuntaryhmä,@SakariPuisto
Riikka Purra,Perussuomalaisten eduskuntaryhmä,@ir_rkp
Juha Pylväs,Keskustan eduskuntaryhmä,@pylvas_juha
Lulu Ranne,Perussuomalaisten eduskuntaryhmä,@LuluRanne
Mari Rantanen,Perussuomalaisten eduskuntaryhmä,@MariPSRantanen
Piritta Rantanen,Sosialidemokraattinen eduskuntaryhmä,@PirittaRantanen
Veronica Rehn-Kivi,Ruotsalainen eduskuntaryhmä,@rehnkivi
Minna Reijonen,Perussuomalaisten eduskuntaryhmä,@minnareijonen
Antti Rinne,Sosialidemokraattinen eduskuntaryhmä,@AnttiRinnepj
Paula Risikko,Kansallisen kokoomuksen eduskuntaryhmä,@paularisikko
Jari Ronkainen,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Wille Rydman,Kansallisen kokoomuksen eduskuntaryhmä,@willerydman
Päivi Räsänen,Kristillisdemokraattinen eduskuntaryhmä,@PaiviRasanen
Annika Saarikko,Keskustan eduskuntaryhmä,@AnnikaSaarikko
Suldaan Said Ahmed,Vasemmistoliiton eduskuntaryhmä,@suldaansaid
Kristiina Salonen,Sosialidemokraattinen eduskuntaryhmä,@KrisseSalonen
Janne Sankelo,Kansallisen kokoomuksen eduskuntaryhmä,@JanneSankelo
Jussi Saramo,Vasemmistoliiton eduskuntaryhmä,@jussisaramo
Hanna Sarkkinen,Vasemmistoliiton eduskuntaryhmä,@HSarkkinen
Sari Sarkomaa,Kansallisen kokoomuksen eduskuntaryhmä,@sarisarkomaa
Arto Satonen,Kansallisen kokoomuksen eduskuntaryhmä,@artosatonen
Sami Savio,Perussuomalaisten eduskuntaryhmä,@SamiSavioFi
Mikko Savola,Keskustan eduskuntaryhmä,@MikkoTSavola
Matti Semi,Vasemmistoliiton eduskuntaryhmä,FAILED TO PARSE
Jenna Simula,Perussuomalaisten eduskuntaryhmä,@ainoahelmi
Juha Sipilä,Keskustan eduskuntaryhmä,FAILED TO PARSE
Saara-Sofia Sirén,Kansallisen kokoomuksen eduskuntaryhmä,@saarasofia
Ruut Sjöblom,Kansallisen kokoomuksen eduskuntaryhmä,@RuutSjoblom
Ville Skinnari,Sosialidemokraattinen eduskuntaryhmä,@VilleSkinnari
Riikka Slunga-Poutsalo,Perussuomalaisten eduskuntaryhmä,FAILED TO PARSE
Mirka Soinikoski,Vihreä eduskuntaryhmä,@MirkaSoinikoski
Joakim Strand,Ruotsalainen eduskuntaryhmä,@Jocke_Strand
Iiris Suomela,Vihreä eduskuntaryhmä,@iiris_suomela
Hussein al-Taee,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Katja Taimela,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Mari-Leena Talvitie,Kansallisen kokoomuksen eduskuntaryhmä,@marileenat
Sari Tanus,Kristillisdemokraattinen eduskuntaryhmä,@saritanus
Ville Tavio,Perussuomalaisten eduskuntaryhmä,@VilleTavio
Kari Tolvanen,Kansallisen kokoomuksen eduskuntaryhmä,@KariTolvanen3
Ari Torniainen,Keskustan eduskuntaryhmä,@TorniainenAri
Erkki Tuomioja,Sosialidemokraattinen eduskuntaryhmä,@TuomiojaErkki
Tytti Tuppurainen,Sosialidemokraattinen eduskuntaryhmä,@TyttiTup
Ano Turtiainen,Eduskuntaryhmä Valta kuuluu kansalle,@TurtiainenAno
Sebastian Tynkkynen,Perussuomalaisten eduskuntaryhmä,@SebastianTyne
Veikko Vallin,Perussuomalaisten eduskuntaryhmä,@MailVeikko
Sinuhe Wallinheimo,Kansallisen kokoomuksen eduskuntaryhmä,@swheimo
Elina Valtonen,Kansallisen kokoomuksen eduskuntaryhmä,@elinavaltonen
Matti Vanhanen,Keskustan eduskuntaryhmä,@VanhanenMatti
Anu Vehviläinen,Keskustan eduskuntaryhmä,@AnuVehvilainen
Paula Werning,Sosialidemokraattinen eduskuntaryhmä,FAILED TO PARSE
Heikki Vestman,Kansallisen kokoomuksen eduskuntaryhmä,FAILED TO PARSE
Jussi Wihonen,Perussuomalaisten eduskuntaryhmä,@jussiwihonen
Pia Viitanen,Sosialidemokraattinen eduskuntaryhmä,@PiaViitanenSDP
Sofia Vikman,Kansallisen kokoomuksen eduskuntaryhmä,@SofiaVikman
Heidi Viljanen,Sosialidemokraattinen eduskuntaryhmä,@ViljanenHeidi
Anne-Mari Virolainen,Kansallisen kokoomuksen eduskuntaryhmä,@AMVirolainen
Sofia Virta,Vihreä eduskuntaryhmä,@VirtaSofia
Ville Vähämäki,Perussuomalaisten eduskuntaryhmä,@Vahamaki
Tuula Väätäinen,Sosialidemokraattinen eduskuntaryhmä,@tuula_anneli_
Johannes Yrttiaho,Vasemmistoliiton eduskuntaryhmä,FAILED TO PARSE
Ben Zyskowicz,Kansallisen kokoomuksen eduskuntaryhmä,FAILED TO PARSE
Peter Östman,Kristillisdemokraattinen eduskuntaryhmä,@pjostman
