Column1;Column2;Column3
representative;party;twitter
Markku Eestilä;Kansallisen kokoomuksen eduskuntaryhmä;NOT FOUND
Ritva Elomaa;Perussuomalaisten eduskuntaryhmä;NOT FOUND
Seppo Eskelinen;Sosialidemokraattinen eduskuntaryhmä;NOT FOUND
Jukka Gustafsson;Sosialidemokraattinen eduskuntaryhmä;NOT FOUND
Hannu Hoskonen;Keskustan eduskuntaryhmä;NOT FOUND
Jouni Kotiaho;Perussuomalaisten eduskuntaryhmä;NOT FOUND
Merja Kyllänen;Vasemmistoliiton eduskuntaryhmä;NOT FOUND
Mikko Lundän;Perussuomalaisten eduskuntaryhmä;NOT FOUND
Jukka Mäkynen;Perussuomalaisten eduskuntaryhmä;NOT FOUND
Jaana Pelkonen;Kansallisen kokoomuksen eduskuntaryhmä;NOT FOUND
Jari Ronkainen;Perussuomalaisten eduskuntaryhmä;NOT FOUND
Matti Semi;Vasemmistoliiton eduskuntaryhmä;NOT FOUND
Juha Sipilä;Keskustan eduskuntaryhmä;NOT FOUND
Katja Taimela;Sosialidemokraattinen eduskuntaryhmä;NOT FOUND
Ben Zyskowicz;Kansallisen kokoomuksen eduskuntaryhmä;NOT FOUND
Johannes Yrttiaho;Vasemmistoliiton eduskuntaryhmä;@yrttiahoj
Wille Rydman;Kansallisen kokoomuksen eduskuntaryhmä;@willerydman
Sofia Virta;Vihreä eduskuntaryhmä;@VirtaSofia
Ville Tavio;Perussuomalaisten eduskuntaryhmä;@VilleTavio
Ville Skinnari;Sosialidemokraattinen eduskuntaryhmä;@VilleSkinnari
Ville Kaunisto;Kansallisen kokoomuksen eduskuntaryhmä;@VilleKaunisto
Heidi Viljanen;Sosialidemokraattinen eduskuntaryhmä;@ViljanenHeidi
Vilhelm Junnila;Perussuomalaisten eduskuntaryhmä;@vilhelmjunnila
Veronika Honkasalo;Vasemmistoliiton eduskuntaryhmä;@veronikahonka
Veijo Niemi;Perussuomalaisten eduskuntaryhmä;@veijoniemi1
Matti Vanhanen;Keskustan eduskuntaryhmä;@VanhanenMatti
Ville Vähämäki;Perussuomalaisten eduskuntaryhmä;@Vahamaki
Tytti Tuppurainen;Sosialidemokraattinen eduskuntaryhmä;@TyttiTup
Tuula Haatainen;Sosialidemokraattinen eduskuntaryhmä;@TuulaHaatainen
Tuula Väätäinen;Sosialidemokraattinen eduskuntaryhmä;@tuula_anneli_
Ano Turtiainen;Eduskuntaryhmä Valta kuuluu kansalle;@TurtiainenAno
Erkki Tuomioja;Sosialidemokraattinen eduskuntaryhmä;@TuomiojaErkki
Ari Torniainen;Keskustan eduskuntaryhmä;@TorniainenAri
Tom Packalän;Perussuomalaisten eduskuntaryhmä;@TomPackalen
Toimi Kankaanniemi;Perussuomalaisten eduskuntaryhmä;@ToimiKankaanni1
Timo Heinonen;Kansallisen kokoomuksen eduskuntaryhmä;@timoheinonen
Timo Harakka;Sosialidemokraattinen eduskuntaryhmä;@TimoHarakka
Tiina Elo;Vihreä eduskuntaryhmä;@TiinaElo
Thomas Blomqvist;Ruotsalainen eduskuntaryhmä;@ThomasBlomqvis7
Terhi Koulumies;Kansallisen kokoomuksen eduskuntaryhmä;@terhikoulumies
Tarja Filatov;Sosialidemokraattinen eduskuntaryhmä;@TarjaFilatov
Sinuhe Wallinheimo;Kansallisen kokoomuksen eduskuntaryhmä;@swheimo
Suna Kymäläinen;Sosialidemokraattinen eduskuntaryhmä;@SunaKymlinen
Suldaan Said Ahmed;Vasemmistoliiton eduskuntaryhmä;@suldaansaid
Sofia Vikman;Kansallisen kokoomuksen eduskuntaryhmä;@SofiaVikman
Sirpa Paatero;Sosialidemokraattinen eduskuntaryhmä;@sirpa_paatero
Sebastian Tynkkynen;Perussuomalaisten eduskuntaryhmä;@SebastianTyne
Satu Hassi;Vihreä eduskuntaryhmä;@satuhassi
Sari Tanus;Kristillisdemokraattinen eduskuntaryhmä;@saritanus
Sari Sarkomaa;Kansallisen kokoomuksen eduskuntaryhmä;@sarisarkomaa
Sari Multala;Kansallisen kokoomuksen eduskuntaryhmä;@SariMultala
Sari Essayah;Kristillisdemokraattinen eduskuntaryhmä;@SariEssayah
Sanni Grahn-Laasonen;Kansallisen kokoomuksen eduskuntaryhmä;@sannigrahn
Sanna Antikainen;Perussuomalaisten eduskuntaryhmä;@SannaAntikainen
Sandra Bergqvist;Ruotsalainen eduskuntaryhmä;@SandraBergq
Sami Savio;Perussuomalaisten eduskuntaryhmä;@SamiSavioFi
Sakari Puisto;Perussuomalaisten eduskuntaryhmä;@SakariPuisto
Saara-Sofia Sirän;Kansallisen kokoomuksen eduskuntaryhmä;@saarasofia
Saara Hyrkkä;Vihreä eduskuntaryhmä;@SaaraHyrkko
Ruut Sjäblom;Kansallisen kokoomuksen eduskuntaryhmä;@RuutSjoblom
Riikka Slunga-Poutsalo;Perussuomalaisten eduskuntaryhmä;@RiikkaPoutsalo
Veronica Rehn-Kivi;Ruotsalainen eduskuntaryhmä;@rehnkivi
Hussein al-Taee;Sosialidemokraattinen eduskuntaryhmä;@rauhantaee
Rami Lehto;Perussuomalaisten eduskuntaryhmä;@RamiLehto1973
Raimo Piirainen;Sosialidemokraattinen eduskuntaryhmä;@Raimo_Piirainen
Juha Pylväs;Keskustan eduskuntaryhmä;@pylvas_juha
Pirkka-Pekka Petelius;Vihreä eduskuntaryhmä;@PPPetelius
Pia Lohikoski;Vasemmistoliiton eduskuntaryhmä;@plohikoski
Peter ästman;Kristillisdemokraattinen eduskuntaryhmä;@pjostman
Piritta Rantanen;Sosialidemokraattinen eduskuntaryhmä;@PirittaRantanen
Pihla Keto-Huovinen;Kansallisen kokoomuksen eduskuntaryhmä;@pihla_keto
Pia Viitanen;Sosialidemokraattinen eduskuntaryhmä;@PiaViitanenSDP
Pia Kauma;Kansallisen kokoomuksen eduskuntaryhmä;@PiaKauma
Petteri Orpo;Kansallisen kokoomuksen eduskuntaryhmä;@PetteriOrpo
Petri Huru;Perussuomalaisten eduskuntaryhmä;@PetriHuru
Paula Risikko;Kansallisen kokoomuksen eduskuntaryhmä;@paularisikko
Paula Werning;Sosialidemokraattinen eduskuntaryhmä;@paula_werning
Pasi Kivisaari;Keskustan eduskuntaryhmä;@PasiKivisaari
Päivi Räsänen;Kristillisdemokraattinen eduskuntaryhmä;@PaiviRasanen
Pekka Aittakumpu;Keskustan eduskuntaryhmä;@PAittakumpu
Outi Alanko-Kahiluoto;Vihreä eduskuntaryhmä;@outialanko
Mikko Ollikainen;Ruotsalainen eduskuntaryhmä;@OllikainenM
Niina Malm;Sosialidemokraattinen eduskuntaryhmä;@niina_malm
Johanna Ojala-Niemelä;Sosialidemokraattinen eduskuntaryhmä;@NiemelaOjala
Mirka Soinikoski;Vihreä eduskuntaryhmä;@MirkaSoinikoski
Minna Reijonen;Perussuomalaisten eduskuntaryhmä;@minnareijonen
Mikko Savola;Keskustan eduskuntaryhmä;@MikkoTSavola
Mikko Kinnunen;Keskustan eduskuntaryhmä;@MikkoPJKinnunen
Krista Mikkonen;Vihreä eduskuntaryhmä;@MikkonenKrista
Mika Niikko;Perussuomalaisten eduskuntaryhmä;@mikaniikko
Mika Lintilä;Keskustan eduskuntaryhmä;@MikaLintila
Mika Kari;Sosialidemokraattinen eduskuntaryhmä;@Mika_Kari
Mia Laiho;Kansallisen kokoomuksen eduskuntaryhmä;@MiaLaiho
Merja Mäkisalo-Ropponen;Sosialidemokraattinen eduskuntaryhmä;@merjamakisalo
Mauri Peltokangas;Perussuomalaisten eduskuntaryhmä;@mauripeltokang2
Hanna-Leena Mattila;Keskustan eduskuntaryhmä;@MattilaHanna
Mats Läfsträm;Ruotsalainen eduskuntaryhmä;@matslofstrom
Matias Marttinen;Kansallisen kokoomuksen eduskuntaryhmä;@MatiasMarttinen
Matias Mäkynen;Sosialidemokraattinen eduskuntaryhmä;@matiasmakynen
Markus Mustajärvi;Vasemmistoliiton eduskuntaryhmä;@MarkusMustajarv
Markus Lohi;Keskustan eduskuntaryhmä;@MarkusLohi
Marko Kilpi;Kansallisen kokoomuksen eduskuntaryhmä;@markokilpi
Marko Asell;Sosialidemokraattinen eduskuntaryhmä;@markoasell
Mari Rantanen;Perussuomalaisten eduskuntaryhmä;@MariPSRantanen
Sanna Marin;Sosialidemokraattinen eduskuntaryhmä;@MarinSanna
Mari-Leena Talvitie;Kansallisen kokoomuksen eduskuntaryhmä;@marileenat
Mari Holopainen;Vihreä eduskuntaryhmä;@mariholopainen
Maria Ohisalo;Vihreä eduskuntaryhmä;@MariaOhisalo
Riitta Mäkinen;Sosialidemokraattinen eduskuntaryhmä;@makinen_riitta
Veikko Vallin;Perussuomalaisten eduskuntaryhmä;@MailVeikko
Mai Kivelä;Vasemmistoliiton eduskuntaryhmä;@MaiKivela
Juha Mäenpää;Perussuomalaisten eduskuntaryhmä;@maenpaa_juha
Lulu Ranne;Perussuomalaisten eduskuntaryhmä;@LuluRanne
Aki Lindän;Sosialidemokraattinen eduskuntaryhmä;@LindenAki
Li Andersson;Vasemmistoliiton eduskuntaryhmä;@liandersson
Leena Meri;Perussuomalaisten eduskuntaryhmä;@leena_meri
Sheikki Laakso;Perussuomalaisten eduskuntaryhmä;@LaaksoSheikki
Johan Kvarnsträm;Sosialidemokraattinen eduskuntaryhmä;@KvarnstromJohan
Antti Kurvinen;Keskustan eduskuntaryhmä;@kurvisentwiit
Krista Kiuru;Sosialidemokraattinen eduskuntaryhmä;@KristaKiuru
Kristiina Salonen;Sosialidemokraattinen eduskuntaryhmä;@KrisseSalonen
Hanna Kosonen;Keskustan eduskuntaryhmä;@KosonenHanna
Noora Koponen;Vihreä eduskuntaryhmä;@koponno
Jari Kinnunen;Kansallisen kokoomuksen eduskuntaryhmä;@knkinnunen
Katja Hänninen;Vasemmistoliiton eduskuntaryhmä;@kmhanninen
Pauli Kiuru;Kansallisen kokoomuksen eduskuntaryhmä;@KiuruPauli
Kimmo Kiljunen;Sosialidemokraattinen eduskuntaryhmä;@kimmokiljunen
Kim Berg;Sosialidemokraattinen eduskuntaryhmä;@kibefi
Tuomas Kettunen;Keskustan eduskuntaryhmä;@KettunenTuomas
Katri Kulmuni;Keskustan eduskuntaryhmä;@KatriKulmuni
Mikko Kärnä;Keskustan eduskuntaryhmä;@KarnaMikko
Kari Tolvanen;Kansallisen kokoomuksen eduskuntaryhmä;@KariTolvanen3
Kaisa Juuso;Perussuomalaisten eduskuntaryhmä;@KaisaJuuso
Kai Mykkänen;Kansallisen kokoomuksen eduskuntaryhmä;@KaiMykkanen
Jussi Wihonen;Perussuomalaisten eduskuntaryhmä;@jussiwihonen
Jussi Saramo;Vasemmistoliiton eduskuntaryhmä;@jussisaramo
Jukka Kopra;Kansallisen kokoomuksen eduskuntaryhmä;@jukka_kopra
Juho Kautto;Vasemmistoliiton eduskuntaryhmä;@JuhoKautto
Jouni Ovaska;Keskustan eduskuntaryhmä;@JouniOvaska
Joonas Känttä;Keskustan eduskuntaryhmä;@joonaskontta
Kalle Jokinen;Kansallisen kokoomuksen eduskuntaryhmä;@JokinenKalle
Johannes Koskinen;Sosialidemokraattinen eduskuntaryhmä;@JohKoskinen
Joakim Strand;Ruotsalainen eduskuntaryhmä;@Jocke_Strand
Jenni Pitko;Vihreä eduskuntaryhmä;@JenniPitko
Jari Myllykoski;Vasemmistoliiton eduskuntaryhmä;@JariMyllykoski
Jari Leppä;Keskustan eduskuntaryhmä;@JariLeppa
Janne Sankelo;Kansallisen kokoomuksen eduskuntaryhmä;@JanneSankelo
Jani Mäkelä;Perussuomalaisten eduskuntaryhmä;@JaniMakelaFi
Riikka Purra;Perussuomalaisten eduskuntaryhmä;@ir_rkp
Inka Hopsu;Vihreä eduskuntaryhmä;@InkaHopsu
Olli Immonen;Perussuomalaisten eduskuntaryhmä;@ImmonenOlli
Ilmari Nurminen;Sosialidemokraattinen eduskuntaryhmä;@IlmariNurminen
Ilkka Kanerva;Kansallisen kokoomuksen eduskuntaryhmä;@ikekanerva
Iiris Suomela;Vihreä eduskuntaryhmä;@iiris_suomela
Heikki Vestman;Kansallisen kokoomuksen eduskuntaryhmä;@HVestman
Hanna Sarkkinen;Vasemmistoliiton eduskuntaryhmä;@HSarkkinen
Petri Honkonen;Keskustan eduskuntaryhmä;@HonkonenPetri
Harry Harkimo;Liike Nyt -eduskuntaryhmä;@hjallisharkimo
Hilkka Kemppi;Keskustan eduskuntaryhmä;@HiluKemppi
Heli Järvinen;Vihreä eduskuntaryhmä;@heli_jarvinen
Janne Heikkinen;Kansallisen kokoomuksen eduskuntaryhmä;@heikkinenjanne
Heikki Autto;Kansallisen kokoomuksen eduskuntaryhmä;@heikkiautto
Hannakaisa Heikkinen;Keskustan eduskuntaryhmä;@HannakaisaHeikk
Hanna Huttunen;Keskustan eduskuntaryhmä;@HannaHuttunen1
Hanna Holopainen;Vihreä eduskuntaryhmä;@HannaHolopaine
Jussi Halla-aho;Perussuomalaisten eduskuntaryhmä;@Halla_aho
Pekka Haavisto;Vihreä eduskuntaryhmä;@Haavisto
Maria Guzenina;Sosialidemokraattinen eduskuntaryhmä;@Guzenina
Eveliina Heinäluoma;Sosialidemokraattinen eduskuntaryhmä;@eveheinaluoma
Eva Biaudet;Ruotsalainen eduskuntaryhmä;@EvaBiaudet
Esko Kiviranta;Keskustan eduskuntaryhmä;@EskoKiviranta
Emma Kari;Vihreä eduskuntaryhmä;@EmmaKari
Eeva-Johanna Eloranta;Sosialidemokraattinen eduskuntaryhmä;@elorantaeevajoh
Elina Valtonen;Kansallisen kokoomuksen eduskuntaryhmä;@elinavaltonen
Eeva Kalli;Keskustan eduskuntaryhmä;@Eeva_Kalli
Juho Eerola;Perussuomalaisten eduskuntaryhmä;@EerolaJuho
Bella Forsgrän;Vihreä eduskuntaryhmä;@BellaForsgren
Atte Kaleva;Kansallisen kokoomuksen eduskuntaryhmä;@AtteKaleva
Atte Harjanne;Vihreä eduskuntaryhmä;@AtteHarjanne
Arto Satonen;Kansallisen kokoomuksen eduskuntaryhmä;@artosatonen
Arto Pirttilahti;Keskustan eduskuntaryhmä;@ArtoPirttilahti
Arja Juvonen;Perussuomalaisten eduskuntaryhmä;@arjajuvonen
Ari Koponen;Perussuomalaisten eduskuntaryhmä;@AriKoponenPS
Anu Vehviläinen;Keskustan eduskuntaryhmä;@AnuVehvilainen
Antti Rinne;Sosialidemokraattinen eduskuntaryhmä;@AnttiRinnepj
Antti Lindtman;Sosialidemokraattinen eduskuntaryhmä;@AnttiLindtman
Antti Kaikkonen;Keskustan eduskuntaryhmä;@anttikaikkonen
Antti Häkkänen;Kansallisen kokoomuksen eduskuntaryhmä;@anttihakkanen
Antero Laukkanen;Kristillisdemokraattinen eduskuntaryhmä;@AnteroLaukkanen
Annika Saarikko;Keskustan eduskuntaryhmä;@AnnikaSaarikko
Anneli Kiljunen;Sosialidemokraattinen eduskuntaryhmä;@AnneliKiljunen
Anne Kalmari;Keskustan eduskuntaryhmä;@AnneKalmari
Anna Kontula;Vasemmistoliiton eduskuntaryhmä;@annakontula
Anna-Maja Henriksson;Ruotsalainen eduskuntaryhmä;@anna_maja
Anders Norrback;Ruotsalainen eduskuntaryhmä;@AndersNorrback
Anne-Mari Virolainen;Kansallisen kokoomuksen eduskuntaryhmä;@AMVirolainen
Aino-Kaisa Pekonen;Vasemmistoliiton eduskuntaryhmä;@akpekonen
Jenna Simula;Perussuomalaisten eduskuntaryhmä;@ainoahelmi
Anders Adlercreutz;Ruotsalainen eduskuntaryhmä;@adleande
Jari Koskela;Perussuomalaisten eduskuntaryhmä;@1jarikoskela
